The cumulative induced charge.
Time [ns],Total Prompt [fC],Total Delayed [fC], Total Charge [fC]
0,-9.711647124301100052e-07,0,-9.711647124301100052e-07
0.2201589593149307356,-1.859491627760734222e-06,0,-1.859491627760734222e-06
0.4403179186298614711,-3.2035262387285953e-06,0,-3.2035262387285953e-06
0.6604768779447922622,-4.863645441836159047e-06,0,-4.863645441836159047e-06
0.8806358372597229422,-5.62373560703197733e-06,0,-5.62373560703197733e-06
1.100794796574653622,-6.749729042036953549e-06,0,-6.749729042036953549e-06
1.320953755889584524,-7.630958422324200617e-06,0,-7.630958422324200617e-06
1.541112715204515204,-8.584250404557743454e-06,0,-8.584250404557743454e-06
1.761271674519445884,-9.954667588396818326e-06,0,-9.954667588396818326e-06
1.981430633834376565,-1.153587211278893454e-05,0,-1.153587211278893454e-05
2.201589593149307245,-1.339840827970288189e-05,0,-1.339840827970288189e-05
2.421748552464237925,-1.560293010019082939e-05,0,-1.560293010019082939e-05
2.641907511779169049,-1.866715750363669548e-05,0,-1.866715750363669548e-05
2.862066471094099729,-2.270295919258989866e-05,0,-2.270295919258989866e-05
3.082225430409030409,-2.625566624020349413e-05,0,-2.625566624020349413e-05
3.302384389723961089,-2.947083021074220846e-05,0,-2.947083021074220846e-05
3.522543349038891769,-3.254501777423403732e-05,0,-3.254501777423403732e-05
3.742702308353822449,-3.711102015292004754e-05,0,-3.711102015292004754e-05
3.962861267668753129,-4.173481871764765644e-05,0,-4.173481871764765644e-05
4.183020226983684253,-4.818593981201584178e-05,0,-4.818593981201584178e-05
4.403179186298614489,-5.453838991454766942e-05,0,-5.453838991454766942e-05
4.623338145613545613,-6.366981142531676584e-05,0,-6.366981142531676584e-05
4.843497104928475849,-7.605748907918687888e-05,0,-7.605748907918687888e-05
5.063656064243406973,-8.83612319138288695e-05,0,-8.83612319138288695e-05
5.283815023558338098,-0.0001007290143865725716,0,-0.0001007290143865725716
5.503973982873268334,-0.0001158220525456668906,0,-0.0001158220525456668906
5.724132942188199458,-0.0001318640852190359667,0,-0.0001318640852190359667
5.944291901503129694,-0.0001478958567074680885,0,-0.0001478958567074680885
6.164450860818060818,-0.000166733335058464417,0,-0.000166733335058464417
6.384609820132991054,-0.0001883971996987057924,0,-0.0001883971996987057924
6.604768779447922178,-0.000210844882290368873,0,-0.000210844882290368873
6.824927738762852414,-0.0002371997177478306015,0,-0.0002371997177478306015
7.045086698077783538,-0.0002687625210320078212,0,-0.0002687625210320078212
7.265245657392714662,-0.0003038236459162182383,0,-0.0003038236459162182383
7.485404616707644898,-0.0003404070000195340523,0,-0.0003404070000195340523
7.705563576022576022,-0.0003830809864695234701,0,-0.0003830809864695234701
7.925722535337506258,-0.0004244645417962563988,0,-0.0004244645417962563988
8.145881494652437382,-0.0004682354356786534787,0,-0.0004682354356786534787
8.366040453967368506,-0.0005220288480220446319,0,-0.0005220288480220446319
8.586199413282297854,-0.0005880674851301043345,0,-0.0005880674851301043345
8.806358372597228978,-0.0006628786162178977722,0,-0.0006628786162178977722
9.026517331912160103,-0.0007526080327465400595,0,-0.0007526080327465400595
9.246676291227091227,-0.0008500959373989463736,0,-0.0008500959373989463736
9.466835250542022351,-0.0009524294746941076688,0,-0.0009524294746941076688
9.686994209856951699,-0.001074201033975044454,0,-0.001074201033975044454
9.907153169171882823,-0.001210148068661496493,0,-0.001210148068661496493
10.12731212848681395,-0.001360062261744573705,0,-0.001360062261744573705
10.34747108780174507,-0.001507207629478491025,0,-0.001507207629478491025
10.5676300471166762,-0.001671131318364175262,0,-0.001671131318364175262
10.78778900643160554,-0.001846092135970216989,0,-0.001846092135970216989
11.00794796574653667,-0.002041673320397253358,0,-0.002041673320397253358
11.22810692506146779,-0.002262023377354757409,0,-0.002262023377354757409
11.44826588437639892,-0.002508888050856671222,0,-0.002508888050856671222
11.66842484369132826,-0.002787271136647830223,0,-0.002787271136647830223
11.88858380300625939,-0.00309253899226971966,0,-0.00309253899226971966
12.10874276232119051,-0.003423069117859476023,0,-0.003423069117859476023
12.32890172163612164,-0.003791793645693714541,0,-0.003791793645693714541
12.54906068095105276,-0.004181502660885197398,0,-0.004181502660885197398
12.76921964026598211,-0.004605568077560391257,0,-0.004605568077560391257
12.98937859958091323,-0.005059730498611607862,0,-0.005059730498611607862
13.20953755889584436,-0.005564983046974443341,0,-0.005564983046974443341
13.42969651821077548,-0.006126742762964328994,0,-0.006126742762964328994
13.64985547752570483,-0.006728205128887078217,0,-0.006728205128887078217
13.87001443684063595,-0.007423458722371553166,0,-0.007423458722371553166
14.09017339615556708,-0.008198258380636641932,0,-0.008198258380636641932
14.3103323554704982,-0.009058072379683894046,0,-0.009058072379683894046
14.53049131478542932,-0.01001086498565146275,0,-0.01001086498565146275
14.75065027410035867,-0.01108568356432963233,0,-0.01108568356432963233
14.9708092334152898,-0.01226870814588836879,0,-0.01226870814588836879
15.19096819273022092,-0.01358099920837400193,0,-0.01358099920837400193
15.41112715204515204,-0.0149936687096851734,0,-0.0149936687096851734
15.63128611136008139,-0.01652861246810981982,0,-0.01652861246810981982
15.85144507067501252,-0.01822375754062596082,0,-0.01822375754062596082
16.07160402998994542,-0.020076596246840165,0,-0.020076596246840165
16.29176298930487476,-0.0221211550568339195,0,-0.0221211550568339195
16.51192194861980411,-0.02437065232824269304,0,-0.02437065232824269304
16.73208090793473701,-0.02684092657338956606,0,-0.02684092657338956606
16.95223986724966636,-0.029551057429136416,0,-0.029551057429136416
17.17239882656459571,-0.03254704832275399223,0,-0.03254704832275399223
17.39255778587952861,-0.03585024994350782118,0,-0.03585024994350782118
17.61271674519445796,-0.03943089317909807129,0,-0.03943089317909807129
17.83287570450939086,-0.04341002264175995023,0,-0.04341002264175995023
18.05303466382432021,-0.0477346999598693561,0,-0.0477346999598693561
18.27319362313924955,-0.05248129987428900439,0,-0.05248129987428900439
18.49335258245418245,-0.05764452286170892309,0,-0.05764452286170892309
18.7135115417691118,-0.0633111340403454681,0,-0.0633111340403454681
18.9336705010840447,-0.06953781080002922887,0,-0.06953781080002922887
19.15382946039897405,-0.07620912276213856473,0,-0.07620912276213856473
19.3739884197139034,-0.08325368170061765716,0,-0.08325368170061765716
19.5941473790288363,-0.08985991556642101974,0,-0.08985991556642101974
19.81430633834376565,-0.09529475335753305465,0,-0.09529475335753305465
20.03446529765869855,-0.09894637864693807405,0,-0.09894637864693807405
20.25462425697362789,-0.1008465209169147753,0,-0.1008465209169147753
20.47478321628855724,-0.10165001232135909,0,-0.10165001232135909
20.69494217560349014,-0.1019529594232280872,0,-0.1019529594232280872
20.91510113491841949,-0.1020868421364499318,0,-0.1020868421364499318
21.13526009423335239,-0.1021850579331022857,0,-0.1021850579331022857
21.35541905354828174,-0.1022808881176985873,0,-0.1022808881176985873
21.57557801286321109,-0.1023764467495700131,0,-0.1023764467495700131
21.79573697217814399,-0.1024720665886456744,0,-0.1024720665886456744
22.01589593149307333,-0.1025674272307832563,0,-0.1025674272307832563
22.23605489080800268,-0.1026626623319776277,0,-0.1026626623319776277
22.45621385012293558,-0.1027580159981789643,0,-0.1027580159981789643
22.67637280943786493,-0.1028533335768577611,0,-0.1028533335768577611
22.89653176875279783,-0.1029491695771076187,0,-0.1029491695771076187
23.11669072806772718,-0.1030449432476190641,0,-0.1030449432476190641
23.33684968738265653,-0.1031404680157969739,0,-0.1031404680157969739
23.55700864669758943,-0.1032360139732400872,0,-0.1032360139732400872
23.77716760601251877,-0.1033317075889218228,0,-0.1033317075889218228
23.99732656532745168,-0.1034268972235569128,0,-0.1034268972235569128
24.21748552464238102,-0.1035220448628779571,0,-0.1035220448628779571
24.43764448395731037,-0.1036174061187642714,0,-0.1036174061187642714
24.65780344327224327,-0.1037127127295794093,0,-0.1037127127295794093
24.87796240258717262,-0.1038081147037928781,0,-0.1038081147037928781
25.09812136190210552,-0.1039035422050409857,0,-0.1039035422050409857
25.31828032121703487,-0.1039987885476064411,0,-0.1039987885476064411
25.53843928053196422,-0.1040940089486600689,0,-0.1040940089486600689
25.75859823984689712,-0.1041893578369982032,0,-0.1041893578369982032
25.97875719916182646,-0.1042846609909948985,0,-0.1042846609909948985
26.19891615847675581,-0.1043804554722287808,0,-0.1043804554722287808
26.41907511779168871,-0.104475965102636556,0,-0.104475965102636556
26.63923407710661806,-0.104571397269646843,0,-0.104571397269646843
26.85939303642155096,-0.1046665865826747616,0,-0.1046665865826747616
27.07955199573648031,-0.10476169487232595,0,-0.10476169487232595
27.29971095505140966,-0.1048572838581143807,0,-0.1048572838581143807
27.51986991436634256,-0.1049529149632420083,0,-0.1049529149632420083
27.7400288736812719,-0.1050486523607284534,0,-0.1050486523607284534
27.9601878329962048,-0.1051443481969015215,0,-0.1051443481969015215
28.18034679231113415,-0.1052400570383842104,0,-0.1052400570383842104
28.4005057516260635,-0.1053356063143998517,0,-0.1053356063143998517
28.6206647109409964,-0.105431016943485098,0,-0.105431016943485098
28.84082367025592575,-0.1055263851680342257,0,-0.1055263851680342257
29.06098262957085865,-0.1056217035323652881,0,-0.1056217035323652881
29.281141588885788,-0.1057169354209006318,0,-0.1057169354209006318
29.50130054820071734,-0.1058122869937991456,0,-0.1058122869937991456
29.72145950751565024,-0.1059076903107074308,0,-0.1059076903107074308
29.94161846683057959,-0.106003165470104424,0,-0.106003165470104424
30.16177742614551249,-0.1060989199586934301,0,-0.1060989199586934301
30.38193638546044184,-0.1061947711104530706,0,-0.1061947711104530706
30.60209534477537119,-0.1062903460431491448,0,-0.1062903460431491448
30.82225430409030409,-0.1063862089544091588,0,-0.1063862089544091588
31.04241326340523344,-0.1064817989927714786,0,-0.1064817989927714786
31.26257222272016278,-0.106577121995427293,0,-0.106577121995427293
31.48273118203509569,-0.1066725266992250981,0,-0.1066725266992250981
31.70289014135002503,-0.1067681391442255323,0,-0.1067681391442255323
31.92304910066495793,-0.1068635650675019977,0,-0.1068635650675019977
32.14320805997989083,-0.1069591791362233396,0,-0.1069591791362233396
32.36336701929482018,-0.1070550068460450477,0,-0.1070550068460450477
32.58352597860974953,-0.1071505384681364081,0,-0.1071505384681364081
32.80368493792467888,-0.1072459545468558983,0,-0.1072459545468558983
33.02384389723960822,-0.1073414801177775268,0,-0.1073414801177775268
33.24400285655453757,-0.1074368287430745583,0,-0.1074368287430745583
33.46416181586947403,-0.107532218378529984,0,-0.107532218378529984
33.68432077518440337,-0.1076275939868145959,0,-0.1076275939868145959
33.90447973449933272,-0.1077232438822590121,0,-0.1077232438822590121
34.12463869381426207,-0.1078187309062562521,0,-0.1078187309062562521
34.34479765312919142,-0.1079142767814142423,0,-0.1079142767814142423
34.56495661244412787,-0.1080099352465336976,0,-0.1080099352465336976
34.78511557175905722,-0.1081055275091311885,0,-0.1081055275091311885
35.00527453107398657,-0.1082007193447395016,0,-0.1082007193447395016
35.22543349038891591,-0.1082959150973994977,0,-0.1082959150973994977
35.44559244970384526,-0.108391244046525087,0,-0.108391244046525087
35.66575140901878171,-0.1084862845464979325,0,-0.1084862845464979325
