The induced signal.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns]
0,-4.659661448934265656e-11,0,-4.659661448934265656e-11
0.004000000000000000083,-2.36703193553420997e-10,0,-2.36703193553420997e-10
0.008000000000000000167,-1.789237930520872528e-10,0,-1.789237930520872528e-10
0.01200000000000000025,-3.531000517055229314e-10,0,-3.531000517055229314e-10
0.01600000000000000033,-1.719877810353868616e-10,0,-1.719877810353868616e-10
0.02000000000000000042,-8.730879062117029186e-11,0,-8.730879062117029186e-11
0.0240000000000000005,-1.466102151036093603e-10,0,-1.466102151036093603e-10
0.02800000000000000058,-3.060350921569070061e-10,0,-3.060350921569070061e-10
0.03200000000000000067,-3.263530212925491952e-10,0,-3.263530212925491952e-10
0.03600000000000000422,-7.60743796439665723e-11,0,-7.60743796439665723e-11
0.04000000000000000083,-2.475446554773371977e-10,0,-2.475446554773371977e-10
0.04399999999999999745,-2.033247614137602699e-10,0,-2.033247614137602699e-10
0.048000000000000001,-2.928728770927296535e-10,0,-2.928728770927296535e-10
0.05200000000000000455,-9.453612601059132749e-11,0,-9.453612601059132749e-11
0.05600000000000000117,-7.405497897740426e-11,0,-7.405497897740426e-11
0.05999999999999999778,-1.697206652519885011e-10,0,-1.697206652519885011e-10
0.06400000000000000133,-1.077973112140585976e-10,0,-1.077973112140585976e-10
0.06800000000000000488,-1.811580643848659861e-10,0,-1.811580643848659861e-10
0.07200000000000000844,-5.585141867103455306e-11,0,-5.585141867103455306e-11
0.07599999999999999811,-1.37803831286201545e-10,0,-1.37803831286201545e-10
0.08000000000000000167,-1.834764897536260889e-10,0,-1.834764897536260889e-10
0.08400000000000000522,-2.689965587480648634e-11,0,-2.689965587480648634e-11
0.08799999999999999489,-1.012822532982221982e-10,0,-1.012822532982221982e-10
0.09199999999999999845,-1.111376560576357004e-11,0,-1.111376560576357004e-11
0.096000000000000002,-1.729333860358892154e-10,0,-1.729333860358892154e-10
0.1000000000000000056,-1.139232312334024935e-10,0,-1.139232312334024935e-10
0.1040000000000000091,-3.966000993018632582e-11,0,-3.966000993018632582e-11
0.1079999999999999988,-7.551886316955988695e-11,0,-7.551886316955988695e-11
0.1120000000000000023,-3.831315518022543032e-12,0,-3.831315518022543032e-12
0.1160000000000000059,-1.10389119440969915e-10,0,-1.10389119440969915e-10
0.1199999999999999956,-2.017688671219378382e-10,0,-2.017688671219378382e-10
0.1239999999999999991,-1.022146010983464128e-10,0,-1.022146010983464128e-10
0.1280000000000000027,-1.654008332602058707e-10,0,-1.654008332602058707e-10
0.1320000000000000062,-2.5623800948661414e-10,0,-2.5623800948661414e-10
0.1360000000000000098,-1.719013115576595616e-10,0,-1.719013115576595616e-10
0.1400000000000000133,-1.062629146968392871e-10,0,-1.062629146968392871e-10
0.1440000000000000169,-2.088345215261025182e-10,0,-2.088345215261025182e-10
0.1479999999999999927,-8.885190901459303537e-11,0,-8.885190901459303537e-11
0.1519999999999999962,-4.177891989547097633e-11,0,-4.177891989547097633e-11
0.1559999999999999998,-1.813635523738534444e-10,0,-1.813635523738534444e-10
0.1600000000000000033,-8.90708389726147855e-11,0,-8.90708389726147855e-11
0.1640000000000000069,-2.875514216422466195e-10,0,-2.875514216422466195e-10
0.1680000000000000104,-4.815211267438788192e-11,0,-4.815211267438788192e-11
0.172000000000000014,-2.642122438147046032e-10,0,-2.642122438147046032e-10
0.1759999999999999898,-3.18665022473688576e-10,0,-3.18665022473688576e-10
0.1799999999999999933,-6.831418047455150483e-11,0,-6.831418047455150483e-11
0.1839999999999999969,-8.199094949449123706e-11,0,-8.199094949449123706e-11
0.1880000000000000004,9.777945379798783016e-12,0,9.777945379798783016e-12
0.192000000000000004,-5.744819851882342204e-11,0,-5.744819851882342204e-11
0.1960000000000000075,-3.051474325435958452e-10,0,-3.051474325435958452e-10
0.2000000000000000111,-4.056801503062434571e-11,0,-4.056801503062434571e-11
0.2040000000000000147,-1.333589223018500996e-10,0,-1.333589223018500996e-10
0.2080000000000000182,-4.892824509522626076e-11,0,-4.892824509522626076e-11
0.211999999999999994,-3.268946866478399964e-11,0,-3.268946866478399964e-11
0.2159999999999999976,-2.185470578149071246e-10,0,-2.185470578149071246e-10
0.2200000000000000011,-1.969392326286157416e-10,0,-1.969392326286157416e-10
0.2240000000000000047,-9.00888073610646722e-11,0,-9.00888073610646722e-11
0.2280000000000000082,-2.009658911653838468e-10,0,-2.009658911653838468e-10
0.2320000000000000118,-1.608612932813493464e-10,0,-1.608612932813493464e-10
0.2360000000000000153,-8.727748805459507596e-11,0,-8.727748805459507596e-11
0.2399999999999999911,-1.90374485260521757e-10,0,-1.90374485260521757e-10
0.2439999999999999947,-1.774299244751960134e-10,0,-1.774299244751960134e-10
0.2479999999999999982,-2.916802480076084934e-11,0,-2.916802480076084934e-11
0.2520000000000000018,-1.872169882119877475e-10,0,-1.872169882119877475e-10
0.2560000000000000053,-1.986879507761313228e-10,0,-1.986879507761313228e-10
0.2600000000000000089,-1.21598554591329995e-10,0,-1.21598554591329995e-10
0.2640000000000000124,-8.452025356397338951e-11,0,-8.452025356397338951e-11
0.268000000000000016,-2.744440600101205311e-10,0,-2.744440600101205311e-10
0.2720000000000000195,-9.342340812539780378e-11,0,-9.342340812539780378e-11
0.2760000000000000231,-5.480935734609822935e-11,0,-5.480935734609822935e-11
0.2800000000000000266,-1.958438978146532076e-10,0,-1.958438978146532076e-10
0.2840000000000000302,-4.545299698396895556e-11,0,-4.545299698396895556e-11
0.2880000000000000338,-1.113965512702847844e-10,0,-1.113965512702847844e-10
0.2919999999999999818,-1.513736229254029596e-10,0,-1.513736229254029596e-10
0.2959999999999999853,-2.121718683759673613e-10,0,-2.121718683759673613e-10
0.2999999999999999889,-1.248905448929380577e-10,0,-1.248905448929380577e-10
0.3039999999999999925,-1.586877365881080013e-10,0,-1.586877365881080013e-10
0.307999999999999996,-4.546278961572710599e-11,0,-4.546278961572710599e-11
0.3119999999999999996,1.501150220009823705e-11,0,1.501150220009823705e-11
0.3160000000000000031,-1.350959090822337869e-10,0,-1.350959090822337869e-10
0.3200000000000000067,-1.741813862942634268e-10,0,-1.741813862942634268e-10
0.3240000000000000102,-8.389108972470784569e-11,0,-8.389108972470784569e-11
0.3280000000000000138,-1.343398075036778197e-10,0,-1.343398075036778197e-10
0.3320000000000000173,-1.231418853492430702e-10,0,-1.231418853492430702e-10
0.3360000000000000209,-1.447839353886871226e-10,0,-1.447839353886871226e-10
0.3400000000000000244,-1.192348753478606103e-10,0,-1.192348753478606103e-10
0.344000000000000028,-2.291323589782538607e-11,0,-2.291323589782538607e-11
0.3480000000000000315,-1.536551314679251669e-10,0,-1.536551314679251669e-10
0.3519999999999999796,-2.435342752026066762e-10,0,-2.435342752026066762e-10
0.3559999999999999831,-1.460531764908905159e-10,0,-1.460531764908905159e-10
0.3599999999999999867,-2.728187636401335026e-10,0,-2.728187636401335026e-10
0.3639999999999999902,-4.009874086387204276e-11,0,-4.009874086387204276e-11
0.3679999999999999938,-7.743028528646916468e-11,0,-7.743028528646916468e-11
0.3719999999999999973,-1.813990728423639287e-11,0,-1.813990728423639287e-11
0.3760000000000000009,-2.160101582105038818e-10,0,-2.160101582105038818e-10
0.3800000000000000044,-9.621980566518786409e-11,0,-9.621980566518786409e-11
0.384000000000000008,-6.204921898666870797e-11,0,-6.204921898666870797e-11
0.3880000000000000115,-3.12896867290546603e-11,0,-3.12896867290546603e-11
0.3920000000000000151,-1.18827492248917689e-10,0,-1.18827492248917689e-10
0.3960000000000000187,2.570819719160433716e-11,0,2.570819719160433716e-11
0.4000000000000000222,-4.781047037009300159e-11,0,-4.781047037009300159e-11
0.4040000000000000258,-2.010803463336779105e-10,0,-2.010803463336779105e-10
0.4080000000000000293,5.781458301425446213e-11,0,5.781458301425446213e-11
0.4120000000000000329,-9.574989286820018369e-11,0,-9.574989286820018369e-11
0.4160000000000000364,-1.732414431727199909e-10,0,-1.732414431727199909e-10
0.4199999999999999845,5.358502895345393842e-11,0,5.358502895345393842e-11
0.423999999999999988,-8.465923235743528043e-11,0,-8.465923235743528043e-11
0.4279999999999999916,-2.034849833804427934e-10,0,-2.034849833804427934e-10
0.4319999999999999951,1.771298385726751649e-11,0,1.771298385726751649e-11
0.4359999999999999987,-2.191331398124908086e-11,0,-2.191331398124908086e-11
0.4400000000000000022,-1.380901505505385684e-10,0,-1.380901505505385684e-10
0.4440000000000000058,3.247458175673747227e-11,0,3.247458175673747227e-11
0.4480000000000000093,-1.052310649274583111e-10,0,-1.052310649274583111e-10
0.4520000000000000129,-5.23678842953518129e-11,0,-5.23678842953518129e-11
0.4560000000000000164,-3.688174586683632197e-11,0,-3.688174586683632197e-11
0.46000000000000002,-1.529115792944934803e-11,0,-1.529115792944934803e-11
0.4640000000000000235,-1.490852420264448662e-10,0,-1.490852420264448662e-10
0.4680000000000000271,-1.691504541586272588e-10,0,-1.691504541586272588e-10
0.4720000000000000306,-8.361481390478160746e-11,0,-8.361481390478160746e-11
0.4760000000000000342,-1.335055357947172121e-10,0,-1.335055357947172121e-10
0.4799999999999999822,1.438988595042694503e-11,0,1.438988595042694503e-11
0.4839999999999999858,-1.20575597940176919e-10,0,-1.20575597940176919e-10
0.4879999999999999893,-4.480439728996331848e-11,0,-4.480439728996331848e-11
0.4919999999999999929,-1.238737019088964848e-10,0,-1.238737019088964848e-10
0.4959999999999999964,-7.962917726144780063e-11,0,-7.962917726144780063e-11
0.5,4.216403110716231484e-11,0,4.216403110716231484e-11
0.5040000000000000036,-1.088281897263539994e-10,0,-1.088281897263539994e-10
0.5080000000000000071,-4.244148931136405397e-11,0,-4.244148931136405397e-11
0.5120000000000000107,-2.263164831695401717e-10,0,-2.263164831695401717e-10
0.5160000000000000142,-4.359220390763912828e-12,0,-4.359220390763912828e-12
0.5200000000000000178,4.522372857875554012e-11,0,4.522372857875554012e-11
0.5240000000000000213,-1.290303572127593437e-10,0,-1.290303572127593437e-10
0.5280000000000000249,-6.992419442841729281e-11,0,-6.992419442841729281e-11
0.5320000000000000284,3.563904638506358477e-11,0,3.563904638506358477e-11
0.536000000000000032,3.68494458586677113e-12,0,3.68494458586677113e-12
0.5400000000000000355,-1.778937281594854684e-11,0,-1.778937281594854684e-11
0.5440000000000000391,-1.170608743916003637e-10,0,-1.170608743916003637e-10
0.5480000000000000426,-5.720750562537524188e-11,0,-5.720750562537524188e-11
0.5520000000000000462,-4.998148475147482175e-11,0,-4.998148475147482175e-11
0.5560000000000000497,-9.674357729659524432e-12,0,-9.674357729659524432e-12
0.5600000000000000533,-9.252937540285895334e-11,0,-9.252937540285895334e-11
0.5640000000000000568,1.886653896917413617e-11,0,1.886653896917413617e-11
0.5680000000000000604,-1.742842089543729868e-10,0,-1.742842089543729868e-10
0.5720000000000000639,-9.031018155317939075e-11,0,-9.031018155317939075e-11
0.5760000000000000675,-2.069239213396764481e-10,0,-2.069239213396764481e-10
0.57999999999999996,-1.198827331111351256e-10,0,-1.198827331111351256e-10
0.5839999999999999636,-1.081893503723632914e-10,0,-1.081893503723632914e-10
0.5879999999999999671,5.789187821109964913e-13,0,5.789187821109964913e-13
0.5919999999999999707,3.366635630136149267e-11,0,3.366635630136149267e-11
0.5959999999999999742,-9.371341483578626211e-11,0,-9.371341483578626211e-11
0.5999999999999999778,-5.473594444544965972e-11,0,-5.473594444544965972e-11
0.6039999999999999813,-1.89992943055472424e-12,0,-1.89992943055472424e-12
0.6079999999999999849,-9.978376675947940093e-11,0,-9.978376675947940093e-11
0.6119999999999999885,-1.135096387760150862e-10,0,-1.135096387760150862e-10
0.615999999999999992,-1.280461782658527506e-11,0,-1.280461782658527506e-11
0.6199999999999999956,4.210754595399509246e-11,0,4.210754595399509246e-11
0.6239999999999999991,-1.148594714485390649e-10,0,-1.148594714485390649e-10
0.6280000000000000027,-5.230758442897084386e-11,0,-5.230758442897084386e-11
0.6320000000000000062,-1.484475816356776326e-10,0,-1.484475816356776326e-10
0.6360000000000000098,-2.562419530977066661e-11,0,-2.562419530977066661e-11
0.6400000000000000133,-1.160894704374407677e-10,0,-1.160894704374407677e-10
0.6440000000000000169,-6.28747192928553879e-11,0,-6.28747192928553879e-11
0.6480000000000000204,-8.605147468868169187e-11,0,-8.605147468868169187e-11
0.652000000000000024,-1.552237433323549699e-10,0,-1.552237433323549699e-10
0.6560000000000000275,-7.564124561029708526e-11,0,-7.564124561029708526e-11
0.6600000000000000311,-9.198819488967929218e-11,0,-9.198819488967929218e-11
0.6640000000000000346,-3.514976209629943735e-11,0,-3.514976209629943735e-11
0.6680000000000000382,3.469747841803429146e-12,0,3.469747841803429146e-12
0.6720000000000000417,-2.151307847880681251e-10,0,-2.151307847880681251e-10
0.6760000000000000453,-6.253539834778849319e-11,0,-6.253539834778849319e-11
0.6800000000000000488,6.983556260835658935e-12,0,6.983556260835658935e-12
0.6840000000000000524,-9.605060467948010205e-11,0,-9.605060467948010205e-11
0.688000000000000056,-5.112957377201195137e-11,0,-5.112957377201195137e-11
0.6920000000000000595,-3.530167707308427213e-11,0,-3.530167707308427213e-11
0.6960000000000000631,-1.237950154001894889e-10,0,-1.237950154001894889e-10
