The cumulative induced charge.
Time [ns],Total Prompt [fC],Total Delayed [fC], Total Charge [fC]
0,-0.0003494713846135023578,0,-0.0003494713846135023578
1.047050147697729416,-0.0006937171570633584661,0,-0.0006937171570633584661
2.094100295395458833,-0.001252972957374735028,0,-0.001252972957374735028
3.141150443093188471,-0.002001294171904734621,0,-0.002001294171904734621
4.188200590790917666,-0.003072176154024761508,0,-0.003072176154024761508
5.23525073848864686,-0.004628613224076366141,0,-0.004628613224076366141
6.282300886186376943,-0.007078244317256164944,0,-0.007078244317256164944
7.329351033884106137,-0.01083387714539685992,0,-0.01083387714539685992
8.376401181581835331,-0.01658446999956383547,0,-0.01658446999956383547
9.423451329279565414,-0.02351043621008326243,0,-0.02351043621008326243
10.47050147697729372,-0.03086241290818643804,0,-0.03086241290818643804
11.5175516246750238,-0.04200323885272083668,0,-0.04200323885272083668
12.56460177237275389,-0.05674521929430785538,0,-0.05674521929430785538
13.61165192007048219,-0.07772226056485725953,0,-0.07772226056485725953
14.65870206776821227,-0.1088330553964763775,0,-0.1088330553964763775
15.70575221546594058,-0.1576815155052064821,0,-0.1576815155052064821
16.75280236316367066,-0.2263194812524949306,0,-0.2263194812524949306
17.79985251086139897,-0.3017078031755507372,0,-0.3017078031755507372
18.84690265855913083,-0.3381124353670362792,0,-0.3381124353670362792
19.89395280625685913,-0.3407148206276913172,0,-0.3407148206276913172
20.94100295395458744,-0.3413771691731886104,0,-0.3413771691731886104
21.9880531016523193,-0.3420394107901686409,0,-0.3420394107901686409
23.03510324935004761,-0.3427016524071486714,0,-0.3427016524071486714
24.08215339704777591,-0.3433638940241286464,0,-0.3433638940241286464
25.12920354474550777,-0.3440261356411086768,0,-0.3440261356411086768
26.17625369244323608,-0.3446883772580887073,0,-0.3446883772580887073
27.22330384014096438,-0.3453506188750687378,0,-0.3453506188750687378
28.27035398783869269,-0.3460128604920487683,0,-0.3460128604920487683
29.31740413553642455,-0.3466751021090287432,0,-0.3466751021090287432
30.36445428323415285,-0.3473373437260087737,0,-0.3473373437260087737
31.41150443093188116,-0.3479995853429888042,0,-0.3479995853429888042
32.45855457862960947,-0.3486618269599688902,0,-0.3486618269599688902
33.50560472632734133,-0.3493240685769489762,0,-0.3493240685769489762
34.55265487402507318,-0.3499863082265454173,0,-0.3499863082265454173
35.59970502172279794,-0.3506485454315928507,0,-0.3506485454315928507
36.6467551694205298,-0.3513107884250650792,0,-0.3513107884250650792
37.69380531711826166,-0.3519730331611818919,0,-0.3519730331611818919
38.74085546481598641,-0.3526352923848468657,0,-0.3526352923848468657
39.78790561251371827,-0.3532975561408066567,0,-0.3532975561408066567
40.83495576021145013,-0.3539598120892226696,0,-0.3539598120892226696
41.88200590790917488,-0.3546220567535304791,0,-0.3546220567535304791
42.92905605560690674,-0.3552842978093451176,0,-0.3552842978093451176
43.9761062033046386,-0.3559465582108060633,0,-0.3559465582108060633
45.02315635100236335,-0.3566087852163898897,0,-0.3566087852163898897
46.07020649870009521,-0.35727101573011949,0,-0.35727101573011949
47.11725664639782707,-0.3579332438218786328,0,-0.3579332438218786328
48.16430679409555182,-0.358595478843208082,0,-0.358595478843208082
49.21135694179328368,-0.359257809816573348,0,-0.359257809816573348
50.25840708949101554,-0.3599201954637566425,0,-0.3599201954637566425
51.30545723718874029,-0.3605826385742890161,0,-0.3605826385742890161
52.35250738488647215,-0.3612451220522450712,0,-0.3612451220522450712
53.39955753258419691,-0.3619075280793697669,0,-0.3619075280793697669
54.44660768028192876,-0.3625698678783775275,0,-0.3625698678783775275
55.49365782797966062,-0.3632322021410539503,0,-0.3632322021410539503
56.54070797567738538,-0.3638945363732069005,0,-0.3638945363732069005
57.58775812337511724,-0.3645568706053597952,0,-0.3645568706053597952
58.6348082710728491,-0.3652192048375126898,0,-0.3652192048375126898
59.68185841877057385,-0.3658815390696655845,0,-0.3658815390696655845
60.72890856646830571,-0.3665438733018184791,0,-0.3665438733018184791
61.77595871416603757,-0.3672062075339713738,0,-0.3672062075339713738
62.82300886186376232,-0.3678685417661242685,0,-0.3678685417661242685
63.87005900956149418,-0.3685308759982771631,0,-0.3685308759982771631
64.91710915725921893,-0.3691932102304300578,0,-0.3691932102304300578
65.96415930495695079,-0.369855544462583008,0,-0.369855544462583008
67.01120945265468265,-0.3705178786947359026,0,-0.3705178786947359026
68.05825960035241451,-0.3711802129268887973,0,-0.3711802129268887973
69.10530974805014637,-0.3718425469076204193,0,-0.3718425469076204193
70.15235989574786402,-0.3725048813681894333,0,-0.3725048813681894333
71.19941004344559587,-0.3731672036173924178,0,-0.3731672036173924178
72.24646019114332773,-0.3738295268363469037,0,-0.3738295268363469037
73.29351033884105959,-0.3744918345926658843,0,-0.3744918345926658843
74.34056048653879145,-0.3751541326657472086,0,-0.3751541326657472086
75.38761063423652331,-0.3758164297040613167,0,-0.3758164297040613167
76.43466078193424096,-0.3764787524161982146,0,-0.3764787524161982146
77.48171092963197282,-0.3771411237412327089,0,-0.3771411237412327089
78.52876107732970468,-0.3778034879612854335,0,-0.3778034879612854335
79.57581122502743654,-0.3784658391425601565,0,-0.3784658391425601565
80.62286137272516839,-0.3791281869653221892,0,-0.3791281869653221892
81.66991152042290025,-0.3797905316514195162,0,-0.3797905316514195162
82.7169616681206179,-0.3804528854932738291,0,-0.3804528854932738291
83.76401181581834976,-0.3811152206056888647,0,-0.3811152206056888647
84.81106196351608162,-0.3817774749712641857,0,-0.3817774749712641857
85.85811211121381348,-0.3824396972388802718,0,-0.3824396972388802718
86.90516225891154534,-0.3831018609147965881,0,-0.3831018609147965881
87.9522124066092772,-0.3837640848170774666,0,-0.3837640848170774666
88.99926255430699484,-0.3844263470461636856,0,-0.3844263470461636856
90.0463127020047267,-0.3850886276312809331,0,-0.3850886276312809331
91.09336284970245856,-0.3857509080220213327,0,-0.3857509080220213327
92.14041299740019042,-0.3864131884127617322,0,-0.3864131884127617322
93.18746314509792228,-0.3870754688035021318,0,-0.3870754688035021318
94.23451329279565414,-0.3877377491942425869,0,-0.3877377491942425869
95.28156344049337179,-0.3884000295849829865,0,-0.3884000295849829865
96.32861358819110364,-0.389062309975723386,0,-0.389062309975723386
97.3756637358888355,-0.3897245903664637856,0,-0.3897245903664637856
98.42271388358656736,-0.3903868707572042407,0,-0.3903868707572042407
99.46976403128429922,-0.3910491511479446403,0,-0.3910491511479446403
100.5168141789820311,-0.3917114315386850398,0,-0.3917114315386850398
101.5638643266797487,-0.3923737119294254394,0,-0.3923737119294254394
102.6109144743774806,-0.3930359923201658945,0,-0.3930359923201658945
103.6579646220752124,-0.3936982727109062941,0,-0.3936982727109062941
104.7050147697729443,-0.3943605484114289794,0,-0.3943605484114289794
105.7520649174706762,-0.3950228211342579621,0,-0.3950228211342579621
106.7991150651683938,-0.3956850930317403203,0,-0.3956850930317403203
107.8461652128661257,-0.3963473704024634836,0,-0.3963473704024634836
108.8932153605638575,-0.3970096636504667487,0,-0.3970096636504667487
109.9402655082615894,-0.3976719528273028326,0,-0.3976719528273028326
110.9873156559593212,-0.3983342356971628639,0,-0.3983342356971628639
112.0343658036570531,-0.3989964858355967703,0,-0.3989964858355967703
113.0814159513547708,-0.3996587103956379949,0,-0.3996587103956379949
114.1284660990525026,-0.400320934603361045,0,-0.400320934603361045
115.1755162467502345,-0.4009831722453409131,0,-0.4009831722453409131
116.2225663944479663,-0.4016454446452163984,0,-0.4016454446452163984
117.2696165421456982,-0.4023076943866726873,0,-0.4023076943866726873
118.31666668984343,-0.4029699403002494074,0,-0.4029699403002494074
119.3637168375411477,-0.4036322148406083499,0,-0.4036322148406083499
120.4107669852388796,-0.4042945261256430944,0,-0.4042945261256430944
121.4578171329366114,-0.404956795079633558,0,-0.404956795079633558
122.5048672806343433,-0.4056190845702985492,0,-0.4056190845702985492
123.5519174283320751,-0.4062813577750221117,0,-0.4062813577750221117
124.598967576029807,-0.40694363188288879,0,-0.40694363188288879
125.6460177237275246,-0.4076059053946706201,0,-0.4076059053946706201
126.6930678714252565,-0.4082681789064524502,0,-0.4082681789064524502
127.7401180191229884,-0.4089304524182342804,0,-0.4089304524182342804
128.7871681668207202,-0.4095927259300161105,0,-0.4095927259300161105
