The induced signal.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns]
0,-8.405080789409199789e-10,0,-8.405080789409199789e-10
0.01600000000000000033,-1.982719828085869964e-09,0,-1.982719828085869964e-09
0.03200000000000000067,-1.577137590637875172e-09,0,-1.577137590637875172e-09
0.048000000000000001,-1.019317893386015924e-09,0,-1.019317893386015924e-09
0.06400000000000000133,-1.522834002842916612e-09,0,-1.522834002842916612e-09
0.08000000000000000167,-1.090577024732065916e-09,0,-1.090577024732065916e-09
0.096000000000000002,-1.290849047201001806e-09,0,-1.290849047201001806e-09
0.1120000000000000023,-1.1670470329194672e-09,0,-1.1670470329194672e-09
0.1280000000000000027,-1.146105975196833049e-09,0,-1.146105975196833049e-09
0.1440000000000000169,-1.103488629658808655e-09,0,-1.103488629658808655e-09
0.1600000000000000033,-1.316297521158771274e-09,0,-1.316297521158771274e-09
0.1759999999999999898,-1.197820513123346625e-09,0,-1.197820513123346625e-09
0.192000000000000004,-7.300435110621876042e-10,0,-7.300435110621876042e-10
0.2080000000000000182,-6.801409648424477855e-10,0,-6.801409648424477855e-10
0.2240000000000000047,-6.706786351492008659e-10,0,-6.706786351492008659e-10
0.2399999999999999911,-9.632077504001932192e-10,0,-9.632077504001932192e-10
0.2560000000000000053,-5.444926035766646038e-10,0,-5.444926035766646038e-10
0.2720000000000000195,-5.590331276411065757e-10,0,-5.590331276411065757e-10
0.2880000000000000338,-7.68788554683484678e-10,0,-7.68788554683484678e-10
0.3039999999999999925,-5.824660376638874688e-10,0,-5.824660376638874688e-10
0.3200000000000000067,-7.698354370774538033e-10,0,-7.698354370774538033e-10
0.3360000000000000209,-8.384492374275109573e-10,0,-8.384492374275109573e-10
0.3519999999999999796,-6.297305419258074525e-10,0,-6.297305419258074525e-10
0.3679999999999999938,-5.124338381852952947e-10,0,-5.124338381852952947e-10
0.384000000000000008,-4.840157375554312706e-10,0,-4.840157375554312706e-10
0.4000000000000000222,-7.854188346125112164e-10,0,-7.854188346125112164e-10
0.4160000000000000364,-6.887621702810224708e-10,0,-6.887621702810224708e-10
0.4319999999999999951,-4.082002260139354708e-10,0,-4.082002260139354708e-10
0.4480000000000000093,-1.403399493249017521e-10,0,-1.403399493249017521e-10
0.4640000000000000235,-5.064945509267746867e-10,0,-5.064945509267746867e-10
0.4799999999999999822,-4.420975211928699431e-10,0,-4.420975211928699431e-10
0.4959999999999999964,-4.192248600668087044e-10,0,-4.192248600668087044e-10
0.5120000000000000107,-3.727054067419650303e-10,0,-3.727054067419650303e-10
0.5280000000000000249,-3.243972387930496485e-10,0,-3.243972387930496485e-10
0.5440000000000000391,-3.465660795488574879e-10,0,-3.465660795488574879e-10
0.5600000000000000533,-4.633731731699260213e-10,0,-4.633731731699260213e-10
0.5760000000000000675,-4.386555234387346269e-10,0,-4.386555234387346269e-10
0.5919999999999999707,-2.619457447318857189e-10,0,-2.619457447318857189e-10
0.6079999999999999849,-3.219513452897898075e-10,0,-3.219513452897898075e-10
0.6239999999999999991,-4.442637127333699007e-10,0,-4.442637127333699007e-10
0.6400000000000000133,-4.61972770806696769e-10,0,-4.61972770806696769e-10
0.6560000000000000275,-3.301516269831999431e-10,0,-3.301516269831999431e-10
0.6720000000000000417,-3.563390521979939283e-10,0,-3.563390521979939283e-10
0.688000000000000056,-1.194878624128142938e-10,0,-1.194878624128142938e-10
0.7039999999999999591,-2.60125587258193962e-10,0,-2.60125587258193962e-10
0.7199999999999999734,-2.013189330566815503e-10,0,-2.013189330566815503e-10
0.7359999999999999876,-2.32220324276482257e-10,0,-2.32220324276482257e-10
0.7520000000000000018,-4.02111797427494377e-10,0,-4.02111797427494377e-10
0.768000000000000016,-3.784620019684714518e-10,0,-3.784620019684714518e-10
0.7840000000000000302,-2.669302895067127824e-10,0,-2.669302895067127824e-10
0.8000000000000000444,-2.467310966741826983e-10,0,-2.467310966741826983e-10
0.8160000000000000586,-2.433789956572443807e-10,0,-2.433789956572443807e-10
0.8320000000000000728,-1.278341788679074002e-10,0,-1.278341788679074002e-10
0.847999999999999976,-1.978183778482109124e-10,0,-1.978183778482109124e-10
0.8639999999999999902,-3.255946848198052114e-10,0,-3.255946848198052114e-10
0.8800000000000000044,-3.215330322291117291e-10,0,-3.215330322291117291e-10
0.8960000000000000187,-1.843632448996898779e-10,0,-1.843632448996898779e-10
0.9120000000000000329,-1.569649429310985792e-10,0,-1.569649429310985792e-10
0.9280000000000000471,-1.566641678363820275e-10,0,-1.566641678363820275e-10
0.9440000000000000613,-2.037788963684228607e-10,0,-2.037788963684228607e-10
0.9599999999999999645,-2.013432314235948848e-10,0,-2.013432314235948848e-10
0.9759999999999999787,-1.540600112036056438e-10,0,-1.540600112036056438e-10
0.9919999999999999929,-1.715401354438370605e-10,0,-1.715401354438370605e-10
1.008000000000000007,-7.254592730853704242e-11,0,-7.254592730853704242e-11
1.024000000000000021,-1.540351147351300951e-10,0,-1.540351147351300951e-10
1.040000000000000036,-1.436355692190043154e-10,0,-1.436355692190043154e-10
1.05600000000000005,-1.744214364637283394e-10,0,-1.744214364637283394e-10
1.072000000000000064,-9.318513568511971553e-11,0,-9.318513568511971553e-11
1.088000000000000078,-1.266614755605884279e-10,0,-1.266614755605884279e-10
1.104000000000000092,-1.896601219514532612e-10,0,-1.896601219514532612e-10
1.120000000000000107,-7.111941633696355904e-11,0,-7.111941633696355904e-11
1.136000000000000121,-8.061159667229969963e-11,0,-8.061159667229969963e-11
1.152000000000000135,-1.572131603530408221e-10,0,-1.572131603530408221e-10
1.167999999999999927,-1.075370516866156993e-10,0,-1.075370516866156993e-10
1.183999999999999941,-2.41122861818386087e-10,0,-2.41122861818386087e-10
1.199999999999999956,-8.181951068102178861e-11,0,-8.181951068102178861e-11
1.21599999999999997,-1.800470067608426192e-11,0,-1.800470067608426192e-11
1.231999999999999984,-7.994463179146900426e-11,0,-7.994463179146900426e-11
1.247999999999999998,-1.817252031359826044e-10,0,-1.817252031359826044e-10
1.264000000000000012,-8.847703673324853736e-11,0,-8.847703673324853736e-11
1.280000000000000027,-1.250007668573262512e-10,0,-1.250007668573262512e-10
1.296000000000000041,-2.086499280091806274e-10,0,-2.086499280091806274e-10
1.312000000000000055,-6.743246784200021483e-11,0,-6.743246784200021483e-11
1.328000000000000069,-7.189489632242836498e-11,0,-7.189489632242836498e-11
1.344000000000000083,-1.768947618557628026e-10,0,-1.768947618557628026e-10
1.360000000000000098,-5.25591278201903264e-11,0,-5.25591278201903264e-11
1.376000000000000112,-6.573110902990869983e-12,0,-6.573110902990869983e-12
1.392000000000000126,-9.342007559915156209e-11,0,-9.342007559915156209e-11
1.407999999999999918,1.556542088898081752e-11,0,1.556542088898081752e-11
1.423999999999999932,-5.702688177941713444e-11,0,-5.702688177941713444e-11
1.439999999999999947,-6.877283476856978007e-12,0,-6.877283476856978007e-12
1.455999999999999961,-1.431700437897922951e-10,0,-1.431700437897922951e-10
1.471999999999999975,-3.52346979369484827e-11,0,-3.52346979369484827e-11
1.487999999999999989,-1.68217763310579963e-11,0,-1.68217763310579963e-11
1.504000000000000004,-7.060879998924129737e-12,0,-7.060879998924129737e-12
1.520000000000000018,-2.107885007440333059e-11,0,-2.107885007440333059e-11
1.536000000000000032,-2.708482882796738437e-11,0,-2.708482882796738437e-11
1.552000000000000046,-4.074557738233019534e-11,0,-4.074557738233019534e-11
1.56800000000000006,-6.268996135932218087e-11,0,-6.268996135932218087e-11
1.584000000000000075,-1.448851031922248065e-10,0,-1.448851031922248065e-10
1.600000000000000089,2.980865706028487641e-11,0,2.980865706028487641e-11
1.616000000000000103,-2.451355909647766209e-11,0,-2.451355909647766209e-11
1.632000000000000117,-1.882012427196481344e-11,0,-1.882012427196481344e-11
1.648000000000000131,-3.329312739468945971e-11,0,-3.329312739468945971e-11
1.664000000000000146,-1.059434594836722899e-10,0,-1.059434594836722899e-10
1.679999999999999938,2.205509170304976853e-12,0,2.205509170304976853e-12
1.695999999999999952,-1.074307772607172222e-10,0,-1.074307772607172222e-10
1.711999999999999966,-6.757517553902250174e-11,0,-6.757517553902250174e-11
1.72799999999999998,2.395837472997691808e-11,0,2.395837472997691808e-11
1.743999999999999995,-5.039902100019890344e-11,0,-5.039902100019890344e-11
1.760000000000000009,-1.922039993009456008e-12,0,-1.922039993009456008e-12
1.776000000000000023,-6.218138777128175468e-11,0,-6.218138777128175468e-11
1.792000000000000037,-1.055693975658785008e-11,0,-1.055693975658785008e-11
1.808000000000000052,-6.54087896679082545e-11,0,-6.54087896679082545e-11
1.824000000000000066,-9.372853017496982848e-12,0,-9.372853017496982848e-12
1.84000000000000008,-3.495655936558955702e-11,0,-3.495655936558955702e-11
1.856000000000000094,-5.671494527809177786e-11,0,-5.671494527809177786e-11
1.872000000000000108,-1.804937679802955294e-11,0,-1.804937679802955294e-11
1.888000000000000123,-4.523997020498535864e-11,0,-4.523997020498535864e-11
1.904000000000000137,-4.589104613472370663e-11,0,-4.589104613472370663e-11
1.919999999999999929,-8.649501037104184831e-12,0,-8.649501037104184831e-12
1.935999999999999943,-3.054661474790609522e-11,0,-3.054661474790609522e-11
1.951999999999999957,-5.103027915441147542e-11,0,-5.103027915441147542e-11
1.967999999999999972,-9.911172356539082188e-11,0,-9.911172356539082188e-11
1.983999999999999986,-4.130894260430223843e-11,0,-4.130894260430223843e-11
2,-1.257632689593617609e-10,0,-1.257632689593617609e-10
2.016000000000000014,-4.958543801298568554e-11,0,-4.958543801298568554e-11
2.032000000000000028,6.474366256486982871e-12,0,6.474366256486982871e-12
2.048000000000000043,-3.472875551525570634e-11,0,-3.472875551525570634e-11
2.064000000000000057,-3.76280862352848274e-11,0,-3.76280862352848274e-11
2.080000000000000071,-6.595745895117893205e-11,0,-6.595745895117893205e-11
2.096000000000000085,-7.093902104471150212e-13,0,-7.093902104471150212e-13
2.112000000000000099,-6.442184401635593309e-11,0,-6.442184401635593309e-11
2.128000000000000114,-2.003920325795148764e-12,0,-2.003920325795148764e-12
2.144000000000000128,-9.723709666521404323e-11,0,-9.723709666521404323e-11
2.160000000000000142,-3.098928144848365337e-11,0,-3.098928144848365337e-11
2.176000000000000156,-1.335676454522553403e-11,0,-1.335676454522553403e-11
2.192000000000000171,-5.502900817887228746e-11,0,-5.502900817887228746e-11
2.208000000000000185,-1.10129982425990055e-10,0,-1.10129982425990055e-10
2.224000000000000199,-1.437051089007027234e-11,0,-1.437051089007027234e-11
2.240000000000000213,-1.112186144067198728e-11,0,-1.112186144067198728e-11
2.256000000000000227,-3.307424844760620097e-11,0,-3.307424844760620097e-11
2.272000000000000242,-1.153180647258238321e-11,0,-1.153180647258238321e-11
2.288000000000000256,-2.823596665917905582e-11,0,-2.823596665917905582e-11
2.30400000000000027,-3.764522468825101102e-11,0,-3.764522468825101102e-11
2.31999999999999984,-3.314332934396194254e-11,0,-3.314332934396194254e-11
2.335999999999999854,-4.378321311255982618e-11,0,-4.378321311255982618e-11
2.351999999999999869,-7.772776166365917341e-11,0,-7.772776166365917341e-11
2.367999999999999883,2.530415594517780115e-11,0,2.530415594517780115e-11
2.383999999999999897,-8.407741649430161437e-12,0,-8.407741649430161437e-12
2.399999999999999911,-7.722343574811464247e-12,0,-7.722343574811464247e-12
2.415999999999999925,-6.210282771536515264e-12,0,-6.210282771536515264e-12
2.43199999999999994,-7.736517419542655678e-12,0,-7.736517419542655678e-12
2.447999999999999954,-4.766715169611090925e-12,0,-4.766715169611090925e-12
2.463999999999999968,-3.606391845605855635e-12,0,-3.606391845605855635e-12
2.479999999999999982,-7.995804357779878832e-12,0,-7.995804357779878832e-12
2.495999999999999996,-5.467255386475262196e-12,0,-5.467255386475262196e-12
2.512000000000000011,-9.973838385398749721e-12,0,-9.973838385398749721e-12
2.528000000000000025,-5.558253461016484741e-12,0,-5.558253461016484741e-12
2.544000000000000039,-5.01031330194853033e-12,0,-5.01031330194853033e-12
2.560000000000000053,-9.88512789508501347e-12,0,-9.88512789508501347e-12
2.576000000000000068,-1.074678853325211217e-11,0,-1.074678853325211217e-11
2.592000000000000082,-8.330334738518428987e-12,0,-8.330334738518428987e-12
2.608000000000000096,-2.798462483003508789e-12,0,-2.798462483003508789e-12
2.62400000000000011,-5.189225327212595674e-12,0,-5.189225327212595674e-12
2.640000000000000124,-4.553253816341288218e-12,0,-4.553253816341288218e-12
2.656000000000000139,-1.370890153195637322e-12,0,-1.370890153195637322e-12
