The cumulative induced charge.
Time [ns],Total Prompt [fC],Total Delayed [fC], Total Charge [fC],Electron Prompt [fC],Electron Delayed [fC],Electron Charge [fC],Ion Prompt [fC],Ion Delayed [fC],Ion Charge [fC]
0,-0.0003529430543242527635,0,-0.0003529430543242527635,-0.0003525827036131398587,0,-0.0003525827036131398587,-3.603507111129838247e-07,0,-3.603507111129838247e-07
1.047050147697729416,-0.0008896935115125297012,0,-0.0008896935115125297012,-0.0008880452911571179051,0,-0.0008880452911571179051,-1.648220355411338458e-06,0,-1.648220355411338458e-06
2.094100295395458833,-0.001683194573713595998,0,-0.001683194573713595998,-0.001679017246552981686,0,-0.001679017246552981686,-4.177327160612332889e-06,0,-4.177327160612332889e-06
3.141150443093188471,-0.002817521805412048601,0,-0.002817521805412048601,-0.002809068669038558563,0,-0.002809068669038558563,-8.453136373488875363e-06,0,-8.453136373488875363e-06
4.188200590790917666,-0.004541535095024123309,0,-0.004541535095024123309,-0.004526229185709432744,0,-0.004526229185709432744,-1.530590931469056476e-05,0,-1.530590931469056476e-05
5.23525073848864686,-0.007120578630179865559,0,-0.007120578630179865559,-0.007094374284711995812,0,-0.007094374284711995812,-2.620434546790713826e-05,0,-2.620434546790713826e-05
6.282300886186376943,-0.01083529877571217694,0,-0.01083529877571217694,-0.01079206284047218474,0,-0.01079206284047218474,-4.32359352399909965e-05,0,-4.32359352399909965e-05
7.329351033884106137,-0.01645968359202360995,0,-0.01645968359202360995,-0.01639058020001213714,0,-0.01639058020001213714,-6.910339201155054571e-05,0,-6.910339201155054571e-05
8.376401181581835331,-0.02294908012497377109,0,-0.02294908012497377109,-0.02284195260235756531,0,-0.02284195260235756531,-0.0001071275226161525087,0,-0.0001071275226161525087
9.423451329279565414,-0.02633248181711379116,0,-0.02633248181711379116,-0.02617859294219349042,0,-0.02617859294219349042,-0.0001538888749202444632,0,-0.0001538888749202444632
10.47050147697729372,-0.03010886579298341012,0,-0.03010886579298341012,-0.02990197373481235515,0,-0.02990197373481235515,-0.0002068920581710441506,0,-0.0002068920581710441506
11.5175516246750238,-0.03600628309159767393,0,-0.03600628309159767393,-0.03573706414830440242,0,-0.03573706414830440242,-0.0002692189432932001118,0,-0.0002692189432932001118
12.56460177237275389,-0.04446851926169322067,0,-0.04446851926169322067,-0.04412271584514859679,0,-0.04412271584514859679,-0.0003458034165444523011,0,-0.0003458034165444523011
13.61165192007048219,-0.05411977471156963204,0,-0.05411977471156963204,-0.05367949754526834399,0,-0.05367949754526834399,-0.0004402771663010436143,0,-0.0004402771663010436143
14.65870206776821227,-0.06163147183730056239,0,-0.06163147183730056239,-0.06108112639073744188,0,-0.06108112639073744188,-0.0005503454465628519537,0,-0.0005503454465628519537
15.70575221546594058,-0.0721773300518029487,0,-0.0721773300518029487,-0.07149989378332767542,0,-0.07149989378332767542,-0.0006774362684749885618,0,-0.0006774362684749885618
16.75280236316367066,-0.08837332593393973368,0,-0.08837332593393973368,-0.08754296289536808717,0,-0.08754296289536808717,-0.0008303630385713802256,0,-0.0008303630385713802256
17.79985251086139897,-0.1109272969159710437,0,-0.1109272969159710437,-0.1099060095906542606,0,-0.1099060095906542606,-0.001021287325316218688,0,-0.001021287325316218688
18.84690265855913083,-0.1193673087982966841,0,-0.1193673087982966841,-0.1181218235817931145,0,-0.1181218235817931145,-0.001245485216503006663,0,-0.001245485216503006663
19.89395280625685913,-0.1196904406448227043,0,-0.1196904406448227043,-0.118216564091317991,0,-0.118216564091317991,-0.001473876553504151199,0,-0.001473876553504151199
20.94100295395458744,-0.1199188541246773154,0,-0.1199188541246773154,-0.118216564091317991,0,-0.118216564091317991,-0.001702290033358763851,0,-0.001702290033358763851
21.9880531016523193,-0.1201472676045319404,0,-0.1201472676045319404,-0.118216564091317991,0,-0.118216564091317991,-0.001930703513213376504,0,-0.001930703513213376504
23.03510324935004761,-0.1203756810843865516,0,-0.1203756810843865516,-0.118216564091317991,0,-0.118216564091317991,-0.002159116993067989373,0,-0.002159116993067989373
24.08215339704777591,-0.1206040945642411627,0,-0.1206040945642411627,-0.118216564091317991,0,-0.118216564091317991,-0.002387530472922601808,0,-0.002387530472922601808
25.12920354474550777,-0.1208325080440957877,0,-0.1208325080440957877,-0.118216564091317991,0,-0.118216564091317991,-0.002615943952777214677,0,-0.002615943952777214677
26.17625369244323608,-0.1210609215239503988,0,-0.1210609215239503988,-0.118216564091317991,0,-0.118216564091317991,-0.002844357432631827113,0,-0.002844357432631827113
27.22330384014096438,-0.12128933500380501,0,-0.12128933500380501,-0.118216564091317991,0,-0.118216564091317991,-0.003072770912486439982,0,-0.003072770912486439982
28.27035398783869269,-0.121517748483659635,0,-0.121517748483659635,-0.118216564091317991,0,-0.118216564091317991,-0.003301184392341052418,0,-0.003301184392341052418
29.31740413553642455,-0.1217461619635142461,0,-0.1217461619635142461,-0.118216564091317991,0,-0.118216564091317991,-0.003529597872195665287,0,-0.003529597872195665287
30.36445428323415285,-0.1219745754433688711,0,-0.1219745754433688711,-0.118216564091317991,0,-0.118216564091317991,-0.003758011352050277722,0,-0.003758011352050277722
