The induced signal.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns],Electron Prompt [fC/ns],Electron Delayed [fC/ns],Electron Signal [fC/ns],Ion Prompt [fC/ns],Ion Delayed [fC/ns],Ion Signal [fC/ns]
0,-0.0003370832381813894992,0,-0.0003370832381813894992,-0.0003367390801561933851,0,-0.0003367390801561933851,-3.441580251961462699e-07,0,-3.441580251961462699e-07
1.047050147697729416,-0.0005126310887482249607,0,-0.0005126310887482249607,-0.0005114010906940432907,0,-0.0005114010906940432907,-1.229998054181208946e-06,0,-1.229998054181208946e-06
2.094100295395458833,-0.0007578443725411138738,0,-0.0007578443725411138738,-0.0007554289134432248592,0,-0.0007554289134432248592,-2.415459097887560679e-06,0,-2.415459097887560679e-06
3.141150443093188471,-0.001083355209101139437,0,-0.001083355209101139437,-0.001079271537251918437,0,-0.001079271537251918437,-4.083671849221606076e-06,0,-4.083671849221606076e-06
4.188200590790917666,-0.001646543189361906459,0,-0.001646543189361906459,-0.001639998351985904983,0,-0.001639998351985904983,-6.544837376003123491e-06,0,-6.544837376003123491e-06
5.23525073848864686,-0.002463151875606515908,0,-0.002463151875606515908,-0.002452743170562978088,0,-0.002452743170562978088,-1.040870504357430332e-05,0,-1.040870504357430332e-05
6.282300886186376943,-0.003547795827831453849,0,-0.003547795827831453849,-0.003531529567987477195,0,-0.003531529567987477195,-1.626625984393697232e-05,0,-1.626625984393697232e-05
7.329351033884106137,-0.005371647985226324362,0,-0.005371647985226324362,-0.005346942906077670719,0,-0.005346942906077670719,-2.4705079148727809e-05,0,-2.4705079148727809e-05
8.376401181581835331,-0.006197789616112606668,0,-0.006197789616112606668,-0.006161474134291285674,0,-0.006161474134291285674,-3.631548182120028165e-05,0,-3.631548182120028165e-05
9.423451329279565414,-0.003231365469533145369,0,-0.003231365469533145369,-0.003186705380991139425,0,-0.003186705380991139425,-4.466008854199730443e-05,0,-4.466008854199730443e-05
10.47050147697729372,-0.003606688738044872,0,-0.003606688738044872,-0.003556067300888973888,0,-0.003556067300888973888,-5.062143715594133117e-05,0,-5.062143715594133117e-05
11.5175516246750238,-0.005632411505391217085,0,-0.005632411505391217085,-0.005572885335360809947,0,-0.005572885335360809947,-5.952617003034791385e-05,0,-5.952617003034791385e-05
12.56460177237275389,-0.008081977915482313826,0,-0.008081977915482313826,-0.008008834834972044028,0,-0.008008834834972044028,-7.314308051018129984e-05,0,-7.314308051018129984e-05
13.61165192007048219,-0.009217567535898583617,0,-0.009217567535898583617,-0.009127339049742121818,0,-0.009127339049742121818,-9.022848615639057995e-05,0,-9.022848615639057995e-05
14.65870206776821227,-0.007174152204885092879,0,-0.007174152204885092879,-0.007069029942590545658,0,-0.007069029942590545658,-0.0001051222622945311341,0,-0.0001051222622945311341
15.70575221546594058,-0.01007197051420200169,0,-0.01007197051420200169,-0.009950590633599726981,0,-0.009950590633599726981,-0.0001213798806022672037,0,-0.0001213798806022672037
16.75280236316367066,-0.01546821412302820664,0,-0.01546821412302820664,-0.01532215925599759825,0,-0.01532215925599759825,-0.0001460548670306283179,0,-0.0001460548670306283179
17.79985251086139897,-0.02154048784733314167,0,-0.02154048784733314167,-0.02135814291651493002,0,-0.02135814291651493002,-0.0001823449308179229847,0,-0.0001823449308179229847
18.84690265855913083,-0.00806075229623306154,0,-0.00806075229623306154,-0.007846628940556389306,0,-0.007846628940556389306,-0.0002141233556766675172,0,-0.0002141233556766675172
19.89395280625685913,-0.0003086116240339791981,0,-0.0003086116240339791981,-9.048325883262412395e-05,0,-9.048325883262412395e-05,-0.0002181283652013562126,0,-0.0002181283652013562126
20.94100295395458744,-0.0002181495130456281178,0,-0.0002181495130456281178,0,0,0,-0.0002181495130456281178,0,-0.0002181495130456281178
21.9880531016523193,-0.0002181495130456281178,0,-0.0002181495130456281178,0,0,0,-0.0002181495130456281178,0,-0.0002181495130456281178
23.03510324935004761,-0.0002181495130456281178,0,-0.0002181495130456281178,0,0,0,-0.0002181495130456281178,0,-0.0002181495130456281178
24.08215339704777591,-0.0002181495130456281178,0,-0.0002181495130456281178,0,0,0,-0.0002181495130456281178,0,-0.0002181495130456281178
25.12920354474550777,-0.0002181495130456281178,0,-0.0002181495130456281178,0,0,0,-0.0002181495130456281178,0,-0.0002181495130456281178
