The induced signal.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns],Electron Prompt [fC/ns],Electron Delayed [fC/ns],Electron Signal [fC/ns],Ion Prompt [fC/ns],Ion Delayed [fC/ns],Ion Signal [fC/ns]
0,-0.0001255217801427962229,0,-0.0001255217801427962229,-0.0001253682266282202013,0,-0.0001253682266282202013,-1.535535145760115841e-07,0,-1.535535145760115841e-07
1.047050147697729416,-0.0001851317598504665101,0,-0.0001851317598504665101,-0.0001846855861589510731,0,-0.0001846855861589510731,-4.461736915154624555e-07,0,-4.461736915154624555e-07
2.094100295395458833,-0.0002668815186591478109,0,-0.0002668815186591478109,-0.0002660376278267572174,0,-0.0002660376278267572174,-8.438908323903187861e-07,0,-8.438908323903187861e-07
3.141150443093188471,-0.0004266257763144710156,0,-0.0004266257763144710156,-0.0004250818704299458447,0,-0.0004250818704299458447,-1.543905884525359808e-06,0,-1.543905884525359808e-06
4.188200590790917666,-0.0006131608421805008653,0,-0.0006131608421805008653,-0.0006107130859764456137,0,-0.0006107130859764456137,-2.447756204055712788e-06,0,-2.447756204055712788e-06
5.23525073848864686,-0.0007437192272223781733,0,-0.0007437192272223781733,-0.0007400669557083446558,0,-0.0007400669557083446558,-3.652271514033521712e-06,0,-3.652271514033521712e-06
6.282300886186376943,-0.001172134701454472221,0,-0.001172134701454472221,-0.0011665612973062059,0,-0.0011665612973062059,-5.573404148262220314e-06,0,-5.573404148262220314e-06
7.329351033884106137,-0.001350024252633013266,0,-0.001350024252633013266,-0.001341756322847640921,0,-0.001341756322847640921,-8.267929785383748291e-06,0,-8.267929785383748291e-06
8.376401181581835331,-0.001650875293866043043,0,-0.001650875293866043043,-0.001639780487666307046,0,-0.001639780487666307046,-1.109480619975421359e-05,0,-1.109480619975421359e-05
9.423451329279565414,-0.002562246580650282424,0,-0.002562246580650282424,-0.002547173786196898614,0,-0.002547173786196898614,-1.507279445339577362e-05,0,-1.507279445339577362e-05
10.47050147697729372,-0.003576810292663326445,0,-0.003576810292663326445,-0.003555866480332216251,0,-0.003555866480332216251,-2.094381233111536765e-05,0,-2.094381233111536765e-05
11.5175516246750238,-0.005413556019135299172,0,-0.005413556019135299172,-0.005383880424584087249,0,-0.005383880424584087249,-2.967559455129690403e-05,0,-2.967559455129690403e-05
12.56460177237275389,-0.008371605014046077514,0,-0.008371605014046077514,-0.008328519760955476955,0,-0.008328519760955476955,-4.308525309059162763e-05,0,-4.308525309059162763e-05
13.61165192007048219,-0.01257011428803484626,0,-0.01257011428803484626,-0.01250658055326161859,0,-0.01250658055326161859,-6.353373477319790947e-05,0,-6.353373477319790947e-05
14.65870206776821227,-0.0196210450740336266,0,-0.0196210450740336266,-0.01952580486162406107,0,-0.01952580486162406107,-9.524021240916640343e-05,0,-9.524021240916640343e-05
15.70575221546594058,-0.03032766751991385415,0,-0.03032766751991385415,-0.03018340105731946721,0,-0.03018340105731946721,-0.000144266462594330291,0,-0.000144266462594330291
16.75280236316367066,-0.045742868950704417,0,-0.045742868950704417,-0.04552231989051509081,0,-0.04552231989051509081,-0.0002205490601903620316,0,-0.0002205490601903620316
17.79985251086139897,-0.03491326397618136484,0,-0.03491326397618136484,-0.03460494872432833685,0,-0.03460494872432833685,-0.0003083152518528121835,0,-0.0003083152518528121835
18.84690265855913083,-0.01501535133049585261,0,-0.01501535133049585261,-0.01466697707326904132,0,-0.01466697707326904132,-0.0003483742572268478223,0,-0.0003483742572268478223
19.89395280625685913,-0.005417713118571505261,0,-0.005417713118571505261,-0.005048528815485354634,0,-0.005048528815485354634,-0.0003691843030861872727,0,-0.0003691843030861872727
20.94100295395458744,-0.000409684755092485232,0,-0.000409684755092485232,-3.816881441506710771e-05,0,-3.816881441506710771e-05,-0.0003715159406774192559,0,-0.0003715159406774192559
21.9880531016523193,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
23.03510324935004761,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
24.08215339704777591,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
25.12920354474550777,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
26.17625369244323608,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
27.22330384014096438,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
28.27035398783869269,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
29.31740413553642455,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
30.36445428323415285,-0.0003715200879224937964,0,-0.0003715200879224937964,0,0,0,-0.0003715200879224937964,0,-0.0003715200879224937964
31.41150443093188116,-0.0003715200879224954227,0,-0.0003715200879224954227,0,0,0,-0.0003715200879224954227,0,-0.0003715200879224954227
32.45855457862960947,-0.0003715200879224976453,0,-0.0003715200879224976453,0,0,0,-0.0003715200879224976453,0,-0.0003715200879224976453
33.50560472632734133,-0.0003715200879224976453,0,-0.0003715200879224976453,0,0,0,-0.0003715200879224976453,0,-0.0003715200879224976453
34.55265487402507318,-0.000371521587949446327,0,-0.000371521587949446327,0,0,0,-0.000371521587949446327,0,-0.000371521587949446327
35.59970502172279794,-0.0003715250369704134839,0,-0.0003715250369704134839,0,0,0,-0.0003715250369704134839,0,-0.0003715250369704134839
36.6467551694205298,-0.0003715254426963820393,0,-0.0003715254426963820393,0,0,0,-0.0003715254426963820393,0,-0.0003715254426963820393
37.69380531711826166,-0.000371523805315934015,0,-0.000371523805315934015,0,0,0,-0.000371523805315934015,0,-0.000371523805315934015
38.74085546481598641,-0.0003715152897319273025,0,-0.0003715152897319273025,0,0,0,-0.0003715152897319273025,0,-0.0003715152897319273025
39.78790561251371827,-0.00037150664058879985,0,-0.00037150664058879985,0,0,0,-0.00037150664058879985,0,-0.00037150664058879985
40.83495576021145013,-0.0003714983143144166161,0,-0.0003714983143144166161,0,0,0,-0.0003714983143144166161,0,-0.0003714983143144166161
41.88200590790917488,-0.0003714990087536064706,0,-0.0003714990087536064706,0,0,0,-0.0003714990087536064706,0,-0.0003714990087536064706
42.92905605560690674,-0.0003715028221207565171,0,-0.0003715028221207565171,0,0,0,-0.0003715028221207565171,0,-0.0003715028221207565171
43.9761062033046386,-0.0003715189600155853543,0,-0.0003715189600155853543,0,0,0,-0.0003715189600155853543,0,-0.0003715189600155853543
45.02315635100236335,-0.0003715351519042716993,0,-0.0003715351519042716993,0,0,0,-0.0003715351519042716993,0,-0.0003715351519042716993
46.07020649870009521,-0.0003715415709899713682,0,-0.0003715415709899713682,0,0,0,-0.0003715415709899713682,0,-0.0003715415709899713682
47.11725664639782707,-0.0003715514013552972711,0,-0.0003715514013552972711,0,0,0,-0.0003715514013552972711,0,-0.0003715514013552972711
48.16430679409555182,-0.0003715264297468792026,0,-0.0003715264297468792026,0,0,0,-0.0003715264297468792026,0,-0.0003715264297468792026
49.21135694179328368,-0.0003715306823200985493,0,-0.0003715306823200985493,0,0,0,-0.0003715306823200985493,0,-0.0003715306823200985493
50.25840708949101554,-0.0003715304966338717381,0,-0.0003715304966338717381,0,0,0,-0.0003715304966338717381,0,-0.0003715304966338717381
51.30545723718874029,-0.0003715778900319289591,0,-0.0003715778900319289591,0,0,0,-0.0003715778900319289591,0,-0.0003715778900319289591
52.35250738488647215,-0.000371539839254322391,0,-0.000371539839254322391,0,0,0,-0.000371539839254322391,0,-0.000371539839254322391
53.39955753258419691,-0.0003715414159495273975,0,-0.0003715414159495273975,0,0,0,-0.0003715414159495273975,0,-0.0003715414159495273975
54.44660768028192876,-0.0003715737611741553779,0,-0.0003715737611741553779,0,0,0,-0.0003715737611741553779,0,-0.0003715737611741553779
55.49365782797966062,-0.0003715914285917938913,0,-0.0003715914285917938913,0,0,0,-0.0003715914285917938913,0,-0.0003715914285917938913
