The induced signal.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns]
0,1.208327467457681277e-09,0,1.208327467457681277e-09
0.01600000000000000033,1.545303530180236904e-09,0,1.545303530180236904e-09
0.03200000000000000067,1.154826262459015144e-09,0,1.154826262459015144e-09
0.048000000000000001,1.464075026452658651e-09,0,1.464075026452658651e-09
0.06400000000000000133,1.397783206296666836e-09,0,1.397783206296666836e-09
0.08000000000000000167,1.273860690781597332e-09,0,1.273860690781597332e-09
0.096000000000000002,9.478182457146506306e-10,0,9.478182457146506306e-10
0.1120000000000000023,1.047876869542682258e-09,0,1.047876869542682258e-09
0.1280000000000000027,1.162102741260848819e-09,0,1.162102741260848819e-09
0.1440000000000000169,1.181875105640690952e-09,0,1.181875105640690952e-09
0.1600000000000000033,1.168465358612764768e-09,0,1.168465358612764768e-09
0.1759999999999999898,7.186164458444618941e-10,0,7.186164458444618941e-10
0.192000000000000004,7.815458098600009252e-10,0,7.815458098600009252e-10
0.2080000000000000182,1.085696289833533314e-09,0,1.085696289833533314e-09
0.2240000000000000047,7.687608475194526429e-10,0,7.687608475194526429e-10
0.2399999999999999911,1.091931588774664708e-09,0,1.091931588774664708e-09
0.2560000000000000053,7.061078477321405163e-10,0,7.061078477321405163e-10
0.2720000000000000195,9.049275304401584741e-10,0,9.049275304401584741e-10
0.2880000000000000338,6.970002900821391605e-10,0,6.970002900821391605e-10
0.3039999999999999925,9.842782865524986352e-10,0,9.842782865524986352e-10
0.3200000000000000067,9.065611227056625427e-10,0,9.065611227056625427e-10
0.3360000000000000209,8.462366344108163809e-10,0,8.462366344108163809e-10
0.3519999999999999796,5.983597343824140795e-10,0,5.983597343824140795e-10
0.3679999999999999938,7.895918941395258064e-10,0,7.895918941395258064e-10
0.384000000000000008,8.111453814327928657e-10,0,8.111453814327928657e-10
0.4000000000000000222,9.598429344396248513e-10,0,9.598429344396248513e-10
0.4160000000000000364,6.179238775677389864e-10,0,6.179238775677389864e-10
0.4319999999999999951,7.537813384662825809e-10,0,7.537813384662825809e-10
0.4480000000000000093,7.248202046981049966e-10,0,7.248202046981049966e-10
0.4640000000000000235,9.484819195989388829e-10,0,9.484819195989388829e-10
0.4799999999999999822,6.847179013570581839e-10,0,6.847179013570581839e-10
0.4959999999999999964,8.781609433083786997e-10,0,8.781609433083786997e-10
0.5120000000000000107,7.406858102259254641e-10,0,7.406858102259254641e-10
0.5280000000000000249,5.081561241749949099e-10,0,5.081561241749949099e-10
0.5440000000000000391,9.151557780607867135e-10,0,9.151557780607867135e-10
0.5600000000000000533,6.768208038771779163e-10,0,6.768208038771779163e-10
0.5760000000000000675,8.721132117239702624e-10,0,8.721132117239702624e-10
0.5919999999999999707,7.383488448466007647e-10,0,7.383488448466007647e-10
0.6079999999999999849,8.320004146090642157e-10,0,8.320004146090642157e-10
0.6239999999999999991,8.388429947519128942e-10,0,8.388429947519128942e-10
0.6400000000000000133,9.563551634716759368e-10,0,9.563551634716759368e-10
0.6560000000000000275,5.718660660001899437e-10,0,5.718660660001899437e-10
0.6720000000000000417,7.510695660799355733e-10,0,7.510695660799355733e-10
0.688000000000000056,6.913200957527284187e-10,0,6.913200957527284187e-10
0.7039999999999999591,7.234809138868596477e-10,0,7.234809138868596477e-10
0.7199999999999999734,6.726024067482580069e-10,0,6.726024067482580069e-10
0.7359999999999999876,9.208666637305183425e-10,0,9.208666637305183425e-10
0.7520000000000000018,7.183756459106042508e-10,0,7.183756459106042508e-10
0.768000000000000016,7.010219485072382537e-10,0,7.010219485072382537e-10
0.7840000000000000302,6.150122413709385205e-10,0,6.150122413709385205e-10
0.8000000000000000444,6.423337563363495411e-10,0,6.423337563363495411e-10
0.8160000000000000586,5.701790715744274362e-10,0,5.701790715744274362e-10
0.8320000000000000728,6.541489562677802871e-10,0,6.541489562677802871e-10
0.847999999999999976,5.879340128613966494e-10,0,5.879340128613966494e-10
0.8639999999999999902,6.394309340018709971e-10,0,6.394309340018709971e-10
0.8800000000000000044,7.55662204379531775e-10,0,7.55662204379531775e-10
0.8960000000000000187,7.900024277968543079e-10,0,7.900024277968543079e-10
0.9120000000000000329,7.332251824865584753e-10,0,7.332251824865584753e-10
0.9280000000000000471,5.682959342194613919e-10,0,5.682959342194613919e-10
0.9440000000000000613,5.359172800365136419e-10,0,5.359172800365136419e-10
0.9599999999999999645,5.061087858549058333e-10,0,5.061087858549058333e-10
0.9759999999999999787,7.125684021481948315e-10,0,7.125684021481948315e-10
0.9919999999999999929,5.484613930751364419e-10,0,5.484613930751364419e-10
1.008000000000000007,4.969621798721446576e-10,0,4.969621798721446576e-10
1.024000000000000021,6.895174384219685037e-10,0,6.895174384219685037e-10
1.040000000000000036,6.170365231976936965e-10,0,6.170365231976936965e-10
1.05600000000000005,5.947073114760722849e-10,0,5.947073114760722849e-10
1.072000000000000064,6.215879986711561674e-10,0,6.215879986711561674e-10
1.088000000000000078,5.526126198963487945e-10,0,5.526126198963487945e-10
1.104000000000000092,6.129205453381584003e-10,0,6.129205453381584003e-10
1.120000000000000107,6.675918832524192303e-10,0,6.675918832524192303e-10
1.136000000000000121,4.840737406404736206e-10,0,4.840737406404736206e-10
1.152000000000000135,4.229822332142282103e-10,0,4.229822332142282103e-10
1.167999999999999927,5.356986408017878858e-10,0,5.356986408017878858e-10
1.183999999999999941,4.943667899373202756e-10,0,4.943667899373202756e-10
1.199999999999999956,4.185687610432578083e-10,0,4.185687610432578083e-10
1.21599999999999997,4.388637965416124465e-10,0,4.388637965416124465e-10
1.231999999999999984,4.135818838293057587e-10,0,4.135818838293057587e-10
1.247999999999999998,5.178761128463202316e-10,0,5.178761128463202316e-10
1.264000000000000012,3.256809250064907741e-10,0,3.256809250064907741e-10
1.280000000000000027,2.984392219586601842e-10,0,2.984392219586601842e-10
1.296000000000000041,2.697659682915566493e-10,0,2.697659682915566493e-10
1.312000000000000055,4.496128598180560751e-10,0,4.496128598180560751e-10
1.328000000000000069,3.926793623438723332e-10,0,3.926793623438723332e-10
