The cumulative induced charge.
Time [ns],Total Prompt [fC],Total Delayed [fC], Total Charge [fC]
0,-1.526233090732675139e-05,0,-1.526233090732675139e-05
1.047050147697729416,-3.798094319247877606e-05,0,-3.798094319247877606e-05
2.094100295395458833,-7.654953790005219268e-05,0,-7.654953790005219268e-05
3.141150443093188471,-0.0001074590432630496121,0,-0.0001074590432630496121
4.188200590790917666,-0.0001523781647777648618,0,-0.0001523781647777648618
5.23525073848864686,-0.0002283764331462638346,0,-0.0002283764331462638346
6.282300886186376943,-0.0003402445042398552369,0,-0.0003402445042398552369
7.329351033884106137,-0.0005723001086599926578,0,-0.0005723001086599926578
8.376401181581835331,-0.0009287949659129092657,0,-0.0009287949659129092657
9.423451329279565414,-0.001458653385664152166,0,-0.001458653385664152166
10.47050147697729372,-0.002272051900241687378,0,-0.002272051900241687378
11.5175516246750238,-0.003521006794103903863,0,-0.003521006794103903863
12.56460177237275389,-0.005333770824420086716,0,-0.005333770824420086716
13.61165192007048219,-0.008152637176353647736,0,-0.008152637176353647736
14.65870206776821227,-0.01245254210626409695,0,-0.01245254210626409695
15.70575221546594058,-0.01904749063066970075,0,-0.01904749063066970075
16.75280236316367066,-0.02950683873130966958,0,-0.02950683873130966958
17.79985251086139897,-0.0454753006603255544,0,-0.0454753006603255544
18.84690265855913083,-0.06843142483079725502,0,-0.06843142483079725502
19.89395280625685913,-0.07739379073104982187,0,-0.07739379073104982187
20.94100295395458744,-0.07763893360449315717,0,-0.07763893360449315717
21.9880531016523193,-0.07779149843972534006,0,-0.07779149843972534006
23.03510324935004761,-0.07794406327495752296,0,-0.07794406327495752296
24.08215339704777591,-0.07809662811018970585,0,-0.07809662811018970585
25.12920354474550777,-0.07824919294542188875,0,-0.07824919294542188875
26.17625369244323608,-0.07840175778065407164,0,-0.07840175778065407164
27.22330384014096438,-0.07855432261588625453,0,-0.07855432261588625453
28.27035398783869269,-0.07870688745111843743,0,-0.07870688745111843743
29.31740413553642455,-0.07885945228635062032,0,-0.07885945228635062032
30.36445428323415285,-0.07901201712158280321,0,-0.07901201712158280321
31.41150443093188116,-0.07916458195681498611,0,-0.07916458195681498611
32.45855457862960947,-0.07931714679204718288,0,-0.07931714679204718288
33.50560472632734133,-0.07946971162727936577,0,-0.07946971162727936577
34.55265487402507318,-0.07962227622333230281,0,-0.07962227622333230281
35.59970502172279794,-0.0797748395762972462,0,-0.0797748395762972462
36.6467551694205298,-0.07992740319478426614,0,-0.07992740319478426614
37.69380531711826166,-0.08007996804994642337,0,-0.08007996804994642337
38.74085546481598641,-0.08023253202787933303,0,-0.08023253202787933303
39.78790561251371827,-0.08038509596495088672,0,-0.08038509596495088672
40.83495576021145013,-0.08053765990307781841,0,-0.08053765990307781841
41.88200590790917488,-0.08069022092552304015,0,-0.08069022092552304015
42.92905605560690674,-0.08084278235297952253,0,-0.08084278235297952253
43.9761062033046386,-0.08099534493187474093,0,-0.08099534493187474093
45.02315635100236335,-0.0811479024347449146,0,-0.0811479024347449146
46.07020649870009521,-0.08130045714706476967,0,-0.08130045714706476967
47.11725664639782707,-0.08145300636804897465,0,-0.08145300636804897465
48.16430679409555182,-0.08160556403275087689,0,-0.08160556403275087689
49.21135694179328368,-0.08175814680334078655,0,-0.08175814680334078655
50.25840708949101554,-0.081910728440807129,0,-0.081910728440807129
51.30545723718874029,-0.08206327780451121157,0,-0.08206327780451121157
52.35250738488647215,-0.08221583963149077523,0,-0.08221583963149077523
