The cumulative induced charge.
Time [ns],Total Prompt [fC],Total Delayed [fC], Total Charge [fC],Electron Prompt [fC],Electron Delayed [fC],Electron Charge [fC],Ion Prompt [fC],Ion Delayed [fC],Ion Charge [fC]
0,-8.707174195362759911e-05,0,-8.707174195362759911e-05,-8.702661103711767626e-05,0,-8.702661103711767626e-05,-4.513091650990648421e-08,0,-4.513091650990648421e-08
1.047050147697729416,-0.0001966629983138197492,0,-0.0001966629983138197492,-0.0001964506960336017717,0,-0.0001964506960336017717,-2.123022802180058202e-07,0,-2.123022802180058202e-07
2.094100295395458833,-0.0003359887422091700554,0,-0.0003359887422091700554,-0.000335350000206017379,0,-0.000335350000206017379,-6.387420031527208087e-07,0,-6.387420031527208087e-07
3.141150443093188471,-0.0005321536322236441498,0,-0.0005321536322236441498,-0.0005306431995764171548,0,-0.0005306431995764171548,-1.510432647227145781e-06,0,-1.510432647227145781e-06
4.188200590790917666,-0.0008378436156076258644,0,-0.0008378436156076258644,-0.000834920002689587765,0,-0.000834920002689587765,-2.923612918037883452e-06,0,-2.923612918037883452e-06
5.23525073848864686,-0.00133671161440723882,0,-0.00133671161440723882,-0.001331412890146210131,0,-0.001331412890146210131,-5.298724261030350462e-06,0,-5.298724261030350462e-06
6.282300886186376943,-0.002198531830686223029,0,-0.002198531830686223029,-0.00218945159825658037,0,-0.00218945159825658037,-9.080232429648381391e-06,0,-9.080232429648381391e-06
7.329351033884106137,-0.003470713248739391767,0,-0.003470713248739391767,-0.003455987422519691318,0,-0.003455987422519691318,-1.472582621970278073e-05,0,-1.472582621970278073e-05
8.376401181581835331,-0.005513339589154797778,0,-0.005513339589154797778,-0.005489723673807544654,0,-0.005489723673807544654,-2.361591534726170544e-05,0,-2.361591534726170544e-05
9.423451329279565414,-0.008588757873078830402,0,-0.008588757873078830402,-0.008551226604556332392,0,-0.008551226604556332392,-3.753126852253906709e-05,0,-3.753126852253906709e-05
10.47050147697729372,-0.01325113857168740659,0,-0.01325113857168740659,-0.01319184082235414987,0,-0.01319184082235414987,-5.929774933330966754e-05,0,-5.929774933330966754e-05
11.5175516246750238,-0.0186091730383007789,0,-0.0186091730383007789,-0.01851791374379231289,0,-0.01851791374379231289,-9.125929450845854266e-05,0,-9.125929450845854266e-05
12.56460177237275389,-0.02375470831455994691,0,-0.02375470831455994691,-0.02362151859785871152,0,-0.02362151859785871152,-0.0001331897167011875213,0,-0.0001331897167011875213
13.61165192007048219,-0.02831731196997425148,0,-0.02831731196997425148,-0.0281333774720966337,0,-0.0281333774720966337,-0.0001839344978775909795,0,-0.0001839344978775909795
14.65870206776821227,-0.03067665628608245987,0,-0.03067665628608245987,-0.03043472786387775228,0,-0.03043472786387775228,-0.000241928422204669316,0,-0.000241928422204669316
15.70575221546594058,-0.03094564789701690147,0,-0.03094564789701690147,-0.03064422980224403709,0,-0.03064422980224403709,-0.0003014180947728199288,0,-0.0003014180947728199288
16.75280236316367066,-0.03100894115089513486,0,-0.03100894115089513486,-0.03064785287676616288,0,-0.03064785287676616288,-0.0003610882741289292148,0,-0.0003610882741289292148
17.79985251086139897,-0.03106861133025124594,0,-0.03106861133025124594,-0.03064785287676616288,0,-0.03064785287676616288,-0.000420758453485038555,0,-0.000420758453485038555
18.84690265855913083,-0.03112828150960735354,0,-0.03112828150960735354,-0.03064785287676616288,0,-0.03064785287676616288,-0.0004804286328411478952,0,-0.0004804286328411478952
19.89395280625685913,-0.03118795168896346462,0,-0.03118795168896346462,-0.03064785287676616288,0,-0.03064785287676616288,-0.0005400988121972571812,0,-0.0005400988121972571812
20.94100295395458744,-0.03124762186831957222,0,-0.03124762186831957222,-0.03064785287676616288,0,-0.03064785287676616288,-0.0005997689915533665215,0,-0.0005997689915533665215
21.9880531016523193,-0.0313072920476756833,0,-0.0313072920476756833,-0.03064785287676616288,0,-0.03064785287676616288,-0.0006594391709094757532,0,-0.0006594391709094757532
