The induced signal.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns],Electron Prompt [fC/ns],Electron Delayed [fC/ns],Electron Signal [fC/ns],Ion Prompt [fC/ns],Ion Delayed [fC/ns],Ion Signal [fC/ns]
0,-8.315909428510405129e-05,0,-8.315909428510405129e-05,-8.311599136724557159e-05,0,-8.311599136724557159e-05,-4.31029178584627062e-08,0,-4.31029178584627062e-08
1.047050147697729416,-0.0001046666738944291821,0,-0.0001046666738944291821,-0.0001045070145275157133,0,-0.0001045070145275157133,-1.596593669134934995e-07,0,-1.596593669134934995e-07
2.094100295395458833,-0.000133065015273339045,0,-0.000133065015273339045,-0.0001326577380059871874,0,-0.0001326577380059871874,-4.072772673518813261e-07,0,-4.072772673518813261e-07
3.141150443093188471,-0.0001873500428282299222,0,-0.0001873500428282299222,-0.0001865175223935678056,0,-0.0001865175223935678056,-8.325204346621911731e-07,0,-8.325204346621911731e-07
4.188200590790917666,-0.0002919535268259477903,0,-0.0002919535268259477903,-0.0002906038490918695237,0,-0.0002906038490918695237,-1.349677734078029613e-06,0,-1.349677734078029613e-06
5.23525073848864686,-0.0004764509129734921695,0,-0.0004764509129734921695,-0.0004741825294121000635,0,-0.0004741825294121000635,-2.268383561393788305e-06,0,-2.268383561393788305e-06
6.282300886186376943,-0.0008230935434887890227,0,-0.0008230935434887890227,-0.0008194819608182468467,0,-0.0008194819608182468467,-3.611582670546267107e-06,0,-3.611582670546267107e-06
7.329351033884106137,-0.001215014792606124551,0,-0.001215014792606124551,-0.001209622888691616431,0,-0.001209622888691616431,-5.391903914504975213e-06,0,-5.391903914504975213e-06
8.376401181581835331,-0.001950839073855981229,0,-0.001950839073855981229,-0.001942348468943598354,0,-0.001942348468943598354,-8.49060491238800091e-06,0,-8.49060491238800091e-06
9.423451329279565414,-0.002937221574999356131,0,-0.002937221574999356131,-0.002923931520835434082,0,-0.002923931520835434082,-1.329005416395257229e-05,0,-1.329005416395257229e-05
10.47050147697729372,-0.004452872394756155795,0,-0.004452872394756155795,-0.004432084010495268046,0,-0.004432084010495268046,-2.078838426089818438e-05,0,-2.078838426089818438e-05
11.5175516246750238,-0.005117266329979232829,0,-0.005117266329979232829,-0.005086741005814494378,0,-0.005086741005814494378,-3.052532416467962682e-05,0,-3.052532416467962682e-05
12.56460177237275389,-0.004914315983406576487,0,-0.004914315983406576487,-0.00487426974275137221,0,-0.00487426974275137221,-4.00462406551646693e-05,0,-4.00462406551646693e-05
13.61165192007048219,-0.004357578923460953511,0,-0.004357578923460953511,-0.004309114405034629273,0,-0.004309114405034629273,-4.8464518426344648e-05,0,-4.8464518426344648e-05
14.65870206776821227,-0.002253325040157792055,0,-0.002253325040157792055,-0.002197937125400693369,0,-0.002197937125400693369,-5.538791475708805377e-05,0,-5.538791475708805377e-05
15.70575221546594058,-0.000256904229015106106,0,-0.000256904229015106106,-0.000200087778820282568,0,-0.000200087778820282568,-5.681645019482351095e-05,0,-5.681645019482351095e-05
16.75280236316367066,-6.044911413020993851e-05,0,-6.044911413020993851e-05,-3.460268383601646138e-06,0,-3.460268383601646138e-06,-5.698884574660826907e-05,0,-5.698884574660826907e-05
17.79985251086139897,-5.698884574660826907e-05,0,-5.698884574660826907e-05,0,0,0,-5.698884574660826907e-05,0,-5.698884574660826907e-05
18.84690265855913083,-5.698884574660826907e-05,0,-5.698884574660826907e-05,0,0,0,-5.698884574660826907e-05,0,-5.698884574660826907e-05
19.89395280625685913,-5.698884574660826907e-05,0,-5.698884574660826907e-05,0,0,0,-5.698884574660826907e-05,0,-5.698884574660826907e-05
20.94100295395458744,-5.698884574660826907e-05,0,-5.698884574660826907e-05,0,0,0,-5.698884574660826907e-05,0,-5.698884574660826907e-05
21.9880531016523193,-5.698884574660826907e-05,0,-5.698884574660826907e-05,0,0,0,-5.698884574660826907e-05,0,-5.698884574660826907e-05
23.03510324935004761,-5.698884574660826907e-05,0,-5.698884574660826907e-05,0,0,0,-5.698884574660826907e-05,0,-5.698884574660826907e-05
24.08215339704777591,-5.698884574660826907e-05,0,-5.698884574660826907e-05,0,0,0,-5.698884574660826907e-05,0,-5.698884574660826907e-05
25.12920354474550777,-5.698884574660826907e-05,0,-5.698884574660826907e-05,0,0,0,-5.698884574660826907e-05,0,-5.698884574660826907e-05
